,Hydrated,Des 1hr,Des 6hr,Des 24hr,Des 120hr,Rehydrated
MSTRG.22821,0.0,3.5504813333333334,1.1912343333333333,18.697745333333334,2.907965,9.100846
MSTRG.15112,0.0,0.0,1.0264033333333333,16.154474,10.257024,10.281043666666667
MSTRG.15115,0.0,0.0,0.9183500000000001,14.783527333333332,10.95654,11.628843000000002
MSTRG.15111,0.0,0.0,0.7530993333333332,14.125510666666665,10.3033035,9.876643666666666
MSTRG.6238,0.0,0.0,0.0,12.240418666666669,10.578674,8.342318333333333
