lncrna_id,n_partners,mean_r,max_r,top_partners
Cp_V2_contig_12238,229,0.9279,0.9896,.; .; .
Cp_V2_contig_4950,117,0.9263,0.9906,.; .; .
Cp_V2_contig_2815,101,0.9372,0.9823,.; .; .
Cp_V2_contig_45133,99,0.9433,0.9943,.; .; .
Cp_V2_contig_24180,91,0.9375,0.9836,.; .; .
Cp_V2_contig_551,86,0.943,0.9838,.; .; .
Cp_V2_contig_670,86,0.9401,0.9908,.; .; .
Cp_V2_contig_47679,81,0.9301,0.978,.; .; .
Cp_V2_contig_8442,66,0.9216,0.9769,.; .; .
Cp_V2_contig_43263,55,0.9235,0.9862,.; .; .
Cp_V2_contig_3232,23,0.9319,0.9809,.; .; .
Cp_V2_contig_692,14,0.9305,0.9903,.; .; .
Cp_V2_contig_6094,9,0.9269,0.9635,.; .; .
Cp_V2_contig_15059,5,0.9452,0.9815,.; .; .
