lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_12238,Cp_V2_contig_21006,.,0.9129,0.000227
Cp_V2_contig_12238,Cp_V2_contig_918,.,0.9127,0.000229
Cp_V2_contig_12238,Cp_V2_contig_40586,.,0.9125,0.000231
Cp_V2_contig_12238,Cp_V2_contig_45615,.,0.9124,0.000232
Cp_V2_contig_12238,Cp_V2_contig_16890,.,0.9121,0.000235
Cp_V2_contig_12238,Cp_V2_contig_3549,.,0.9121,0.000235
Cp_V2_contig_12238,Cp_V2_contig_9242,.,0.912,0.000235
Cp_V2_contig_12238,Cp_V2_contig_3554,.,0.9119,0.000237
Cp_V2_contig_12238,Cp_V2_contig_25399,.,0.9118,0.000238
Cp_V2_contig_12238,Cp_V2_contig_42312,.,0.9118,0.000238
Cp_V2_contig_12238,Cp_V2_contig_13715,.,0.9117,0.000238
Cp_V2_contig_12238,Cp_V2_contig_47621,.,0.9116,0.00024
Cp_V2_contig_12238,Cp_V2_contig_3704,.,0.9115,0.000241
Cp_V2_contig_12238,Cp_V2_contig_25267,.,0.9113,0.000243
Cp_V2_contig_12238,Cp_V2_contig_3354,.,0.911,0.000246
Cp_V2_contig_12238,Cp_V2_contig_45130,.,0.9108,0.000249
Cp_V2_contig_12238,Cp_V2_contig_42119,.,0.9107,0.00025
Cp_V2_contig_12238,Cp_V2_contig_20543,.,0.9106,0.00025
Cp_V2_contig_12238,Cp_V2_contig_376,.,0.9104,0.000253
Cp_V2_contig_12238,Cp_V2_contig_15710,.,0.9103,0.000254
Cp_V2_contig_12238,Cp_V2_contig_23730,.,0.9102,0.000254
Cp_V2_contig_12238,Cp_V2_contig_26147,.,0.9101,0.000257
Cp_V2_contig_12238,Cp_V2_contig_20122,.,0.9095,0.000263
Cp_V2_contig_12238,Cp_V2_contig_35736,.,0.9094,0.000264
Cp_V2_contig_12238,Cp_V2_contig_4720,.,0.9092,0.000266
Cp_V2_contig_12238,Cp_V2_contig_7098,.,0.9091,0.000268
Cp_V2_contig_12238,Cp_V2_contig_16624,.,0.9084,0.000275
Cp_V2_contig_12238,Cp_V2_contig_5497,.,0.9084,0.000275
Cp_V2_contig_12238,Cp_V2_contig_16983,.,0.9083,0.000277
Cp_V2_contig_12238,Cp_V2_contig_26663,.,0.9081,0.000278
Cp_V2_contig_12238,Cp_V2_contig_35365,.,0.908,0.00028
Cp_V2_contig_12238,Cp_V2_contig_13121,.,0.9078,0.000282
Cp_V2_contig_12238,Cp_V2_contig_18127,.,0.9077,0.000283
Cp_V2_contig_12238,Cp_V2_contig_41290,.,0.9077,0.000284
Cp_V2_contig_12238,Cp_V2_contig_5393,.,0.9077,0.000284
Cp_V2_contig_12238,Cp_V2_contig_2878,.,0.9074,0.000287
Cp_V2_contig_12238,Cp_V2_contig_40304,.,0.9071,0.000291
Cp_V2_contig_12238,Cp_V2_contig_15967,.,0.9069,0.000293
Cp_V2_contig_12238,Cp_V2_contig_22727,.,0.9069,0.000294
Cp_V2_contig_12238,Cp_V2_contig_23115,.,0.9062,0.000303
Cp_V2_contig_12238,Cp_V2_contig_31760,.,0.9056,0.00031
Cp_V2_contig_12238,Cp_V2_contig_20409,.,0.9051,0.000316
Cp_V2_contig_12238,Cp_V2_contig_4964,.,0.9051,0.000316
Cp_V2_contig_12238,Cp_V2_contig_3211,.,0.9046,0.000323
Cp_V2_contig_12238,Cp_V2_contig_43581,.,0.9046,0.000323
