Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12230,5.860651,5.392255,4.025923,11.666591,10.215062,9.035233,5.369814,7.466715,8.658413
MSTRG.12232,127.159073,99.100136,95.252472,2896.695801,2906.446777,2134.972168,139.79567,1087.748291,599.75354
MSTRG.12233,81.784355,72.644684,56.260616,2672.112549,2864.045898,2087.088379,118.980888,983.816162,561.550537
MSTRG.12234,40.649067,42.101921,40.773651,84.214523,68.108131,55.314365,57.079147,59.569744,62.298737
MSTRG.12235,43.413696,44.152122,45.281265,91.430382,75.070023,60.657536,78.708153,61.42255,65.213287
MSTRG.12236,8.079055,9.096524,15.564375,7.825624,6.073595,7.807736,12.159942,6.228509,24.766319
MSTRG.12237,36.223495,79.523598,24.893915,30.95417,53.564785,38.355808,40.322342,27.494495,17.421883
MSTRG.12238,19.965414,20.327618,15.230618,11.89018,13.805758,12.450588,31.087128,15.903255,17.444654
MSTRG.12239,5.55427,5.613101,3.929983,4.883895,8.091498,5.064038,32.762856,6.474205,3.028841
MSTRG.12241,0.0,2.336082,0.0,6.924765,4.532046,3.581179,21.846031,2.447239,2.731166
MSTRG.12240,55.774517,40.446724,83.762077,97.410912,80.818535,93.113052,63.478046,32.982944,47.940872
MSTRG.12242,12.31339,19.083134,16.791553,31.596001,30.6346,19.599308,11.53594,14.607381,24.827139
MSTRG.12243,0.0,0.0,0.0,1.713437,0.0,2.084209,0.0,1.524238,0.960522
MSTRG.12245,0.0,0.0,0.0,2.355539,0.0,1.895324,0.0,0.0,1.079948
MSTRG.12246,4.758221,5.457449,3.019958,7.151236,4.331998,6.830935,5.375831,6.540195,7.719551
MSTRG.12247,6.991362,7.908599,5.030457,4.906421,5.802981,5.855576,6.753986,7.835022,10.351317
MSTRG.12248,4.644713,4.705597,3.250659,5.096023,4.043652,4.972346,6.405632,6.263346,7.093584
MSTRG.12244,185.901932,202.938568,197.282196,243.247971,240.728394,217.331039,118.423096,200.690186,199.783127
MSTRG.12249,4.960416,3.612806,2.545154,3.882326,2.997174,4.453126,3.45071,6.443305,5.040555
MSTRG.12250,7.547861,11.466362,7.650682,10.44692,10.812941,14.367136,8.895374,8.831276,10.380919
