gene_id,log2FC,pvalue,mean_hyd,mean_rehyd
Cp_V2_contig_1,2.26746585495977,0.09353436153098488,166.166107,803.8657836666666
Cp_V2_contig_100,-0.4597146862652946,0.8309463415779637,4324.345215,3144.088460333334
Cp_V2_contig_1000,6.232500516655213,0.1846350831698143,0.0,74.191648
Cp_V2_contig_10000,8.402526750343936,0.02025314968520605,0.0,337.38615933333335
Cp_V2_contig_10004,0.6595983077717248,0.7430565208136645,120.4998855,190.926412
Cp_V2_contig_10013,0.19179315398933,0.9122315869006439,146.0336915,166.93930566666668
Cp_V2_contig_10016,7.4732247711049125,0.18834403189913387,0.0,176.69075
Cp_V2_contig_10017,1.5054184059381686,0.3707781042366894,103.2154695,294.87501
Cp_V2_contig_10021,0.4786078126251064,0.7597272683286501,129.7313385,181.160838
Cp_V2_contig_10025,-1.721436503812322,0.6082350995612325,122.0711975,36.320925333333335
Cp_V2_contig_10030,7.776006850796193,0.19247179101700432,0.0,218.18524166666666
Cp_V2_contig_1004,7.52831284932054,0.18353860452659218,0.0,183.60692333333336
Cp_V2_contig_10043,0.922096557870265,0.5290639548385708,139.7484435,265.699575
Cp_V2_contig_10048,7.8826751999108815,0.20037540917657753,0.0,235.00525933333333
Cp_V2_contig_10049,7.5579258541660685,0.023339937230946285,0.0,187.43535366666666
Cp_V2_contig_1005,2.3111918868283516,0.18454647794249787,298.156189,1483.6909993333331
Cp_V2_contig_10058,4.472106403331148,0.4226497308103742,0.0,21.194132333333332
Cp_V2_contig_10062,4.6110671255802815,0.4226497308103743,0.0,23.438216999999998
Cp_V2_contig_10070,5.3661094374689915,0.4226497308103742,0.0,40.24391666666667
Cp_V2_contig_10071,6.903761690439266,0.0664198758512051,0.0,118.74002699999998
Cp_V2_contig_10104,4.725626288833946,0.4226497308103742,0.0,25.45789333333333
Cp_V2_contig_10120,8.32450333359014,0.18488586897233406,0.0,319.5717163333333
Cp_V2_contig_10121,7.501036774591649,0.022223412780386448,0.0,180.14946999999998
Cp_V2_contig_1013,1.870486887459239,0.18244768591503355,1005.344177,3678.7574870000003
Cp_V2_contig_10146,0.8715036637057928,0.5515989442424933,116.276985,213.566312
Cp_V2_contig_10148,0.0769981365125809,0.9665594838809264,165.7732695,174.91593933333334
Cp_V2_contig_10162,0.1660661407087921,0.9293208158040732,119.026779,133.66943600000002
Cp_V2_contig_10164,0.7162909473131218,0.6336676381420719,176.3305205,290.3456576666667
Cp_V2_contig_10166,-0.8197620873405953,0.7397925415992981,314.949585,177.99661233333336
Cp_V2_contig_1017,0.27174417363627296,0.869659470467387,371.909607,449.20127366666674
Cp_V2_contig_10173,5.000821951701388,0.4226497308103742,0.0,31.018236666666667
Cp_V2_contig_10176,6.346796671620688,0.18362026893389943,0.0,80.39096066666667
Cp_V2_contig_1018,1.2707357020577412,0.4441344690396256,196.61026,475.80308033333336
Cp_V2_contig_10191,4.192806601903298,0.4226497308103743,0.0,17.287761666666665
Cp_V2_contig_10194,4.27438278787975,0.4226497308103742,0.0,18.351624666666666
Cp_V2_contig_10199,-6.650816311714477,0.5000000000000001,99.4836045,0.0
Cp_V2_contig_102,4.362125667549351,0.42264973081037416,0.0,19.56509266666667
Cp_V2_contig_10201,4.161656080338087,0.42264973081037416,0.0,16.89712666666667
Cp_V2_contig_10206,4.19018167063413,0.42264973081037416,0.0,17.254518
Cp_V2_contig_1021,1.2230535380727885,0.39364046575565115,445.8594055,1042.1498613333333
Cp_V2_contig_10214,6.775744225991466,0.42264973081037416,0.0,108.57267266666666
Cp_V2_contig_10215,5.330718328108944,0.4226497308103742,0.0,39.244461
Cp_V2_contig_10226,6.784267270265393,0.1905774889367484,0.0,109.22191366666668
Cp_V2_contig_10230,7.881151063315846,0.0028815994496237647,0.0,234.75606299999995
Cp_V2_contig_10238,-0.24747211956939683,0.9025887601900385,107.1437455,90.097168
Cp_V2_contig_10239,0.6188688991504816,0.6946077592342603,176.3796235,271.39669299999997
Cp_V2_contig_10242,4.920743921152692,0.42264973081037416,0.0,29.289459333333337
Cp_V2_contig_10245,6.401918877788966,0.4226497308103742,0.0,83.560903
Cp_V2_contig_10254,5.3794214710935835,0.4226497308103742,0.0,40.62624366666667
Cp_V2_contig_10260,-0.015038593581990896,0.9934527390772784,316.029846,312.7423043333333
Cp_V2_contig_10267,7.025657632140466,0.2722328679525617,0.0,129.29678099999998
Cp_V2_contig_10272,-1.2421089193410324,0.667288578346787,279.4477845,117.56048600000001
Cp_V2_contig_10274,8.366363594226494,0.02459517308962972,0.0,329.0094653333333
Cp_V2_contig_10284,4.349829044411055,0.4226497308103743,0.0,19.390553666666666
Cp_V2_contig_10286,4.1756575539087875,0.4226497308103743,0.0,17.071665333333332
Cp_V2_contig_1029,-0.36062697108703295,0.8622729157859177,3102.160156,2415.8219400000003
Cp_V2_contig_103,6.014177072826512,0.23356550390576272,0.0,63.632015333333335
Cp_V2_contig_10301,0.021790372442039352,0.9902666748970401,184.2361755,187.05520633333333
Cp_V2_contig_10306,-0.2826656084342811,0.8873465226237115,188.3608705,154.66802466666667
Cp_V2_contig_10311,-0.14019771141297765,0.943121341424559,199.4582365,180.89476033333335
Cp_V2_contig_10314,6.409536957773976,0.18543012310560192,0.0,84.00860366666667
Cp_V2_contig_10316,6.505188047942702,0.24723084579406607,0.0,89.835734
Cp_V2_contig_10338,5.339111225142889,0.4226497308103742,0.0,39.479266
Cp_V2_contig_10340,-0.3682086284744269,0.8628289626867355,203.681137,157.57545966666666
Cp_V2_contig_10346,7.393275883958462,0.024601594982796526,0.0,167.11164866666667
Cp_V2_contig_10347,1.1737837733034528,0.4067014573212434,169.8979645,384.55027233333334
Cp_V2_contig_10351,0.40259348144129947,0.801183697014277,294.5225525,389.6459653333333
Cp_V2_contig_10352,6.894304076473587,0.18373245849855505,0.0,117.95763633333333
Cp_V2_contig_10354,5.091534499991268,0.4226497308103742,0.0,33.09609233333333
Cp_V2_contig_10356,4.155613380053296,0.4226497308103742,0.0,16.822321666666667
Cp_V2_contig_10361,-0.15117054164014243,0.9365737354152371,188.5572815,169.70003266666666
Cp_V2_contig_10364,0.7865346657039968,0.5970941322958814,135.623749,234.66588866666666
Cp_V2_contig_10365,-0.7564062144422417,0.7535026233365183,164.8894195,97.20141100000001
Cp_V2_contig_10373,6.359628037974599,0.18371805406534894,0.0,81.11808266666667
Cp_V2_contig_1038,-1.3805896103530315,0.6468056663806936,289.121155,110.42445366666668
Cp_V2_contig_10386,6.545472264757428,0.29595907820576667,0.0,92.40787399999999
Cp_V2_contig_10387,7.412197810031708,0.037114686495088645,0.0,169.33106999999998
Cp_V2_contig_10388,8.52281405154925,0.23353206541249824,0.0,366.80927533333335
Cp_V2_contig_10390,-0.548554897968609,0.8067327766507512,295.995636,202.05729166666666
Cp_V2_contig_10391,-0.7734517327249899,0.7534047827923188,400.193146,233.70445499999997
Cp_V2_contig_10392,0.9467220417983713,0.5171577735907174,127.47258,246.62938433333332
Cp_V2_contig_10397,6.91429108231684,0.19362905850996093,0.0,119.61713666666667
Cp_V2_contig_10398,1.2890919156264145,0.3550614092045131,112.2505035,275.75499966666666
Cp_V2_contig_10400,0.787905379316133,0.5959499429763974,183.8433535,318.14422633333334
Cp_V2_contig_10401,-0.14324832301799598,0.9465104169606938,295.2099915,267.21166466666665
Cp_V2_contig_10412,5.779438969086416,0.42264973081037416,0.0,53.926824
Cp_V2_contig_1042,2.2962848507101166,0.08257201197193119,918.4310915,4515.1650389999995
Cp_V2_contig_10421,4.755675835351085,0.4226497308103742,0.0,26.014757666666668
Cp_V2_contig_10423,4.635393827218587,0.4226497308103743,0.0,23.853787666666666
Cp_V2_contig_10439,4.638285648662147,0.4226497308103742,0.0,23.903655999999998
Cp_V2_contig_1044,-0.6077946559057115,0.7909184245894236,119.0758895,77.793681
Cp_V2_contig_10449,-0.10153539372142145,0.9579900852856008,139.3556215,129.81712866666666
Cp_V2_contig_10450,4.969015808304633,0.4226497308103742,0.0,30.320076
Cp_V2_contig_10455,8.516710433742588,0.012369157003477262,0.0,365.25646966666665
Cp_V2_contig_10467,5.322426712320795,0.4226497308103743,0.0,39.013827
Cp_V2_contig_10470,4.440425394180996,0.4226497308103742,0.0,20.712070333333333
Cp_V2_contig_10471,-0.8516664246114548,0.7389181794069833,103.2154695,56.750406999999996
Cp_V2_contig_10478,4.2367175898327565,0.4226497308103742,0.0,17.852939666666668
Cp_V2_contig_1048,-1.0853983395115816,0.6906292984152063,3074.956787,1448.5819496666666
Cp_V2_contig_10480,5.6212573128869305,0.4226497308103743,0.0,48.222885
Cp_V2_contig_10483,6.500433005590531,0.26268110461844757,0.0,89.53683733333332
Cp_V2_contig_10485,4.841824348002471,0.4226497308103742,0.0,27.677042666666665
Cp_V2_contig_10491,4.705086582570226,0.4226497308103743,0.0,25.083879999999997
