gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_18332,47.826,54.94,57.242,0.1997,0.9066516869933324,0.0,95.651,42.99,48.431,70.823,90.733,21.723,59.389,68.825,43.511,1.0
Cp_V2_contig_18336,0.0,1.129,4.047,3.6196,0.26197817837521825,0.0,0.0,0.0,1.177,0.0,4.469,0.0,12.14,0.0,0.0,0.7818663273930058
Cp_V2_contig_18337,32.271,81.941,24.296,1.3416,0.33493156767943694,0.0,64.543,64.594,77.176,185.36,35.956,46.617,0.0,58.236,14.652,0.7818663273930058
Cp_V2_contig_18338,24.494,93.539,81.217,1.9288,0.15356025983525717,0.0,48.988,63.942,117.857,134.53,64.315,87.051,64.31,150.036,29.305,0.7818663273930058
Cp_V2_contig_18343,5.492,0.0,6.398,-5.8053,0.5000000000000001,0.0,10.984,0.0,0.0,0.0,0.0,0.0,19.195,0.0,0.0,0.8811143061996468
Cp_V2_contig_18344,11.746,133.651,61.206,3.4971,0.07091585083728379,0.0,23.492,70.466,207.754,285.157,4.984,99.894,29.858,112.177,41.581,0.7818663273930058
Cp_V2_contig_18345,0.0,28.709,20.063,8.1704,0.03476147626970731,0.0,0.0,33.892,36.397,56.082,5.122,12.051,21.492,9.689,29.008,0.7818663273930058
Cp_V2_contig_18349,8.379,5.78,2.508,-0.528,0.8098791271009792,0.0,16.757,0.0,8.224,12.03,8.645,0.0,0.0,0.0,7.524,0.9912526060835469
Cp_V2_contig_18350,2.926,0.495,2.431,-2.3467,0.5569078769542001,0.0,5.853,0.0,0.0,0.0,2.475,0.0,0.0,7.292,0.0,0.9078846173048445
Cp_V2_contig_18354,70.997,98.839,35.25,0.4768,0.7686128380817581,0.0,141.994,25.519,103.174,237.207,80.884,47.41,0.0,57.437,48.313,0.9759449152066183
Cp_V2_contig_18355,96.132,162.446,220.862,0.7563,0.6142399435075758,0.0,192.265,193.855,133.014,221.619,106.287,157.452,123.207,324.345,215.032,0.9300123000949546
