"","candidate_modules"
"Cp_V2_contig_12238","grey60"
"Cp_V2_contig_15059","steelblue"
"Cp_V2_contig_2815","red"
"Cp_V2_contig_43263","red"
"Cp_V2_contig_4950","grey60"
"Cp_V2_contig_551","grey60"
"Cp_V2_contig_8442","grey60"
