"gene","connectivity"
"Cp_V2_contig_2815",231.764898073106
"Cp_V2_contig_1856",231.709631942043
"Cp_V2_contig_20939",231.340058207984
"Cp_V2_contig_44940",230.2988835027
"Cp_V2_contig_18010",229.470083221981
"Cp_V2_contig_29767",228.718740073134
"Cp_V2_contig_47679",228.248065482777
"Cp_V2_contig_1533",228.192640328551
"Cp_V2_contig_670",227.737844016036
"Cp_V2_contig_29501",227.692578333556
